Month,Apple Music: (United States)
2016-05,34
2016-06,26
2016-07,25
2016-08,30
2016-09,31
2016-10,28
2016-11,25
2016-12,33
2017-01,25
2017-02,23
2017-03,28
2017-04,28
2017-05,28
2017-06,33
2017-07,34
2017-08,30
2017-09,33
2017-10,32
2017-11,38
2017-12,41
2018-01,34
2018-02,33
2018-03,33
2018-04,35
2018-05,33
2018-06,39
2018-07,40
2018-08,39
2018-09,37
2018-10,37
2018-11,36
2018-12,49
2019-01,41
2019-02,37
2019-03,33
2019-04,39
2019-05,35
2019-06,39
2019-07,36
2019-08,37
2019-09,36
2019-10,37
2019-11,54
2019-12,61
2020-01,38
2020-02,34
2020-03,34
2020-04,40
2020-05,42
2020-06,38
2020-07,41
2020-08,46
2020-09,48
2020-10,38
2020-11,40
2020-12,96
2021-01,40
2021-02,38
2021-03,36
2021-04,35
2021-05,38
2021-06,46
2021-07,43
2021-08,44
2021-09,43
2021-10,42
2021-11,59
2021-12,100
2022-01,56
2022-02,55
2022-03,51
2022-04,52
2022-05,52
2022-06,51
2022-07,53
2022-08,59
2022-09,55
2022-10,57
2022-11,95
2022-12,85
2023-01,58
2023-02,62
2023-03,57
2023-04,57
2023-05,54
